"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","SMAD","ILK","HEY1","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Csn","SOSGRB2","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","NOTCH","NOTCHic","Csl","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"STAT",0.219722222222222,0.212503518153673,0.194856459330144,0.165909090909091,0.140909090909091,0.207893738140417,0.2,0.149653552173956,0.191764705882353,0.18,0.0649619634627131,0.0615136876006441,0.0601058201058201,0.0628225972422309,0.0427602905569007,0.0342857142857143,0.02,0.045,0.0809071591018853,0.025,0,-0.0069376026272578,-0.326728064963359,0.104995176821802,-0.0628629869659736,0.443869183025809,0.443869183025809,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.0581730769230769,-0.0769230769230769,-0.1,-0.205984841796826,-0.459279674281075,0.0427236315086783,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0634173280695643,-0.0566279069767442,-0.172651637812928
"cMet",0.404391025641026,0.405555555555556,0.372222222222222,0.35,0.3,0.420454545454546,0.325,0.403426020049467,0.415,0.385,0.21034632034632,0.197619047619048,0.213725490196078,0.205397727272727,0.2725,0.26,0.266666666666667,0.15,0.392850482850483,0.15,0.2,0.0109523809523809,-0.320634920634921,0.48879143565275,-0.196763716710336,0.457369614512472,0.457369614512472,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,0.166666666666667,0.166666666666667,0.2,-0.331956802177759,-0.467132675609225,-0.259293394777266,0.166176182246344,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.127328695606007,-0.177272727272727,-0.452005590496157
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.1,0.258333333333333,0.22,0.2,0.0714285714285714,0.0666666666666667,0.166666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.293,0,0,0.12,-0.405555555555556,0.43868778280543,-0.431991951710262,0.46207729468599,0.46207729468599,0.252727272727273,0.18,0.18,0.18,0.2,0.1,0.1,-0.513017543859649,-0.472121212121212,-0.23639846743295,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"NFB",0.543188163911055,0.574414849128225,0.529191919191919,0.469191919191919,0.405555555555556,0.306438842203548,0.142857142857143,0.322586114549179,0.252190476190476,0.178857142857143,0.199542600635528,0.18578795379538,0.18988697705803,0.281035559863977,0.358820248820249,0.321042471042471,0.264285714285714,0.228148148148148,0.567765457620748,0.18,0.314285714285714,0.336627598407784,-0.41529304029304,0.698964977831352,-0.61265624380123,0.474453295400664,0.474453295400664,0.415424526100359,0.380598655453593,0.380598655453593,0.380598655453593,0.334119782214156,0.278947368421053,0.2,-0.730689980538571,-0.478992555394036,-0.252348631760396,0.465961828028842,0.409947181407856,0.439530455479823,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.159531272477971,-0.2557343550447,-0.314984742033922
"SRC",0.40859943977591,0.400551948051948,0.369642857142857,0.345833333333333,0.333333333333333,0.333142748237088,0.3,0.309056638817981,0.316161616161616,0.327272727272727,0.113934329065908,0.109429824561404,0.127882205513784,0.0953812636165577,0.168803418803419,0.157692307692308,0.15,0.0533333333333333,0.258834154351396,0.0333333333333333,0.15,0.00857142857142857,-0.354328165374677,0.207151486620042,-0.109673701541685,0.481079664570231,0.481079664570231,0.219246027231008,0.191973299958281,0.191973299958281,0.191973299958281,0.164313725490196,0.146666666666667,0.166666666666667,-0.273239538239538,-0.493078612209047,-0.152380952380952,0.0811660123422667,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.079581541646759,-0.0718518518518519,-0.405408927989573
"SMO",0.430350877192982,0.524132420091324,0.481666666666667,0.44,0.4,0.393240093240093,0.2,0.361428571428571,0.353846153846154,0.3,0.134285714285714,0.12,0.123809523809524,0.324166666666667,0.236857142857143,0.192857142857143,0.15,0.253333333333333,0.284024322830293,0.333333333333333,0.1,0.255263157894737,-0.413888888888889,0.458517788724685,-0.399283850088736,0.481609195402299,0.481609195402299,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,0.303846153846154,0.25,0.2,-0.445705357250274,-0.491758241758242,-0.335225292506846,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319191970819878,-0.290833333333333,-0.351428571428571
"TWIST1",0.535091100325759,0.522530687374888,0.484742668941709,0.440438871473354,0.381818181818182,0.476554281706013,0.28,0.476433978819067,0.431830663615561,0.371304347826087,0.238209918644701,0.21981526981527,0.225853313353313,0.458591118009162,0.460917613459986,0.416849816849817,0.369230769230769,0.391555555555556,0.464406916979396,0.355555555555556,0.3,0.315754268614681,-0.40351252141284,0.731139035985068,-0.658452898038701,0.486542778389129,0.486542778389129,0.452050268226609,0.42054341891154,0.42054341891154,0.42054341891154,0.382986857825567,0.334838709677419,0.28,-0.826808110674034,-0.494670997567925,-0.402797009911764,0.470357338818471,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.266666666666667,0.396894060148204,-0.428541856925419,-0.459590246354952
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.2,0.301190476190476,0.286666666666667,0.22,0.0814285714285714,0.0714285714285714,0.171428571428571,0.151206636500754,0.133333333333333,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.342152542372881,0.0333333333333333,0,0.167368421052632,-0.46207729468599,0.487894132011779,-0.483824412443246,0.52133655394525,0.52133655394525,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,0.18,0.2,0.1,-0.572694963214488,-0.529264069264069,-0.277307558342041,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.47074822818636,0.56530889067956,0.524132420091324,0.481666666666667,0.44,0.430449395565675,0.3,0.390897170462388,0.393240093240093,0.353846153846154,0.145396825396825,0.134285714285714,0.139434523809524,0.349419191919192,0.271472527472527,0.236857142857143,0.192857142857143,0.290833333333333,0.320149977280555,0.253333333333333,0.15,0.274493927125506,-0.460555555555555,0.494129299516052,-0.437601607098081,0.526053639846743,0.526053639846743,0.412610879143199,0.382479874776386,0.382479874776386,0.382479874776386,0.347596153846154,0.303846153846154,0.25,-0.488483899203506,-0.535758241758242,-0.359640008225909,0.326072005450343,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.33714817519944,-0.324166666666667,-0.391634756995582
"TGF",0.530997442455243,0.547702398032384,0.590559540889527,0.524705882352941,0.46,0.471746031746032,0.333333333333333,0.436544145509663,0.420634920634921,0.376190476190476,0.225997638724911,0.211948051948052,0.217402597402597,0.266625880608083,0.341791979949875,0.315476190476191,0.258333333333333,0.203333333333333,0.463280423280423,0.153333333333333,0.233333333333333,0.17972972972973,-0.504444444444444,0.510208778563209,-0.513159996104781,0.556296296296296,0.556296296296296,0.397619047619048,0.34047619047619,0.34047619047619,0.34047619047619,0.283333333333333,0.233333333333333,0.133333333333333,-0.596369738105032,-0.564053594293031,-0.375373528406796,0.425612012121766,0.342264150943396,0.38759748427673,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0,0.180135874933222,-0.234367816091954,-0.406233766233766
"cfos",0.404645893403537,0.425145442792502,0.378991596638655,0.314285714285714,0.242857142857143,0.389064112011791,0.32,0.320279343298211,0.336521739130435,0.28,0.0933521078682369,0.0788359788359788,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.362761904761905,0.0761904761904762,0.0333333333333333,0.193055555555556,-0.509936507936508,0.535891553701773,-0.531877013204303,0.5613144108218,0.5613144108218,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,0.251470588235294,0.175,0.1,-0.61156249663959,-0.572638399128465,-0.310213744588745,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.321284462663773
"CDC42",0.404645893403537,0.425145442792502,0.378991596638655,0.314285714285714,0.342857142857143,0.389064112011791,0.22,0.320279343298211,0.336521739130435,0.28,0.0933521078682369,0.0788359788359788,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.362761904761905,0.0761904761904762,0.0333333333333333,0.193055555555556,-0.509936507936508,0.535891553701773,-0.531877013204303,0.5613144108218,0.5613144108218,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,0.251470588235294,0.175,0.1,-0.61156249663959,-0.572638399128465,-0.310213744588745,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.321284462663773
"NOTCHic",0.422024088323854,0.441878136200717,0.396071684587814,0.331555555555555,0.255555555555556,0.408095238095238,0.22,0.332712215320911,0.350952380952381,0.286666666666667,0.0979753340184995,0.0814285714285714,0.181428571428571,0.173787281662044,0.172868217054264,0.133333333333333,0.0888888888888889,0.121794871794872,0.381006045557595,0.0833333333333333,0.0333333333333333,0.221913875598086,-0.515648723257419,0.528976296340436,-0.529869037189696,0.571712493794874,0.571712493794874,0.344338609915821,0.303451910408432,0.303451910408432,0.303451910408432,0.252727272727273,0.18,0.2,-0.622772004816953,-0.582480443533075,-0.308712517019727,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.35217916982403,-0.151206636500754,-0.332549110060354
"TCFLEF",0.612617212331426,0.600972561909097,0.573298538139997,0.542166462668299,0.502631578947368,0.525045439966308,0.429323308270677,0.431895937291577,0.4977097998279,0.470786722904823,0.185130907089733,0.175227994468374,0.190186335403727,0.283082540672592,0.311506924015211,0.291064935064935,0.271064935064935,0.241666666666667,0.428232248254544,0.216666666666667,0.235064935064935,0.197777486123643,-0.436075268817204,0.482872180978917,-0.434510214632272,0.57219410087471,0.57219410087471,0.408368916241393,0.38480034100837,0.38480034100837,0.38480034100837,0.359252895752896,0.333252895752896,0.308928571428571,-0.602656939025561,-0.583609538481822,-0.357835287455459,0.207581401623177,0.268020296309444,0.188017131470672,0.239944586530264,0.264063643098578,0.236268115942029,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.599685268979387,-0.171428571428571,-0.183333333333333,0.133333333333333,0.320682779041331,-0.26232782369146,-0.434982987914022
"ZEB1",0.462556941968707,0.493507630406114,0.457907630406114,0.415639589169001,0.362698412698413,0.363483249802163,0.216666666666667,0.34209780439844,0.320882352941177,0.275,0.17898612880408,0.166609891180318,0.16953995157385,0.271408218879442,0.285182628702905,0.251849295369572,0.220701754385965,0.223106060606061,0.468910822839272,0.195833333333333,0.173333333333333,0.293077977963777,-0.549169040835708,0.526042766250885,-0.641774337101404,0.60183864858278,0.60183864858278,0.451510114879547,0.420181000955496,0.420181000955496,0.420181000955496,0.381983576062792,0.332616487455197,0.277777777777778,-0.645142401545437,-0.621379269108008,-0.385447256037532,0.495816089129279,0.450386927754216,0.474433373079896,0.420975163048334,0.448864430643484,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.479836386797048,-0.133333333333333,-0.158333333333333,0.266666666666667,0.39839733298564,-0.249106060606061,-0.327974172719935
"PAK1",0.439857161009171,0.460700998348057,0.425145442792502,0.378991596638655,0.314285714285714,0.439064112011791,0.28,0.348396702711414,0.389064112011791,0.336521739130435,0.108384787606799,0.0933521078682369,0.0947089947089947,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.395179487179487,0.10952380952381,0.0833333333333333,0.225728822882288,-0.553269841269841,0.571217640658295,-0.571031424969009,0.602298017379177,0.602298017379177,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,0.303322440087146,0.251470588235294,0.175,-0.653002049399897,-0.614089176330538,-0.336759199134199,0.451244161872731,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.355747739499931
"LIV1",0.439857161009171,0.460700998348057,0.425145442792502,0.378991596638655,0.314285714285714,0.439064112011791,0.28,0.348396702711414,0.389064112011791,0.336521739130435,0.108384787606799,0.0933521078682369,0.0947089947089947,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.395179487179487,0.10952380952381,0.0833333333333333,0.225728822882288,-0.553269841269841,0.571217640658295,-0.571031424969009,0.602298017379177,0.602298017379177,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,0.303322440087146,0.251470588235294,0.175,-0.653002049399897,-0.614089176330538,-0.336759199134199,0.451244161872731,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.355747739499931
"EGR1",0.439857161009171,0.460700998348057,0.425145442792502,0.378991596638655,0.314285714285714,0.439064112011791,0.28,0.348396702711414,0.389064112011791,0.336521739130435,0.108384787606799,0.0933521078682369,0.0947089947089947,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.395179487179487,0.10952380952381,0.0833333333333333,0.225728822882288,-0.553269841269841,0.571217640658295,-0.571031424969009,0.602298017379177,0.602298017379177,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,0.303322440087146,0.251470588235294,0.175,-0.653002049399897,-0.614089176330538,-0.336759199134199,0.451244161872731,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.355747739499931
"TGFR",0.577426013883814,0.597160881786896,0.547702398032384,0.590559540889527,0.524705882352941,0.515194307608101,0.376190476190476,0.473930163746745,0.471746031746032,0.420634920634921,0.238724911452184,0.225997638724911,0.231918726434855,0.295361512791991,0.375125313283208,0.341791979949875,0.315476190476191,0.234367816091954,0.50634611671108,0.203333333333333,0.258333333333333,0.224033527198084,-0.553535353535354,0.557109363358531,-0.563569352829927,0.604358311800172,0.604358311800172,0.442751790981879,0.397619047619048,0.397619047619048,0.397619047619048,0.34047619047619,0.283333333333333,0.233333333333333,-0.649535392918562,-0.612246365377368,-0.410348897864925,0.456794807820691,0.387362190159083,0.425612012121766,0.342264150943396,0.38759748427673,0.342264150943396,0.28,0.28,0.2,0.2,0.41019721019721,-0.233333333333333,-0.153333333333333,0.1,0.207242473917994,-0.266625880608083,-0.448024811009886
"Csl",0.456921449027666,0.476901177675371,0.441878136200717,0.396071684587814,0.331555555555555,0.457545787545788,0.286666666666667,0.3616011042098,0.408095238095238,0.350952380952381,0.11426746884996,0.0979753340184995,0.199738430583501,0.197925212696527,0.204651162790698,0.172868217054264,0.133333333333333,0.151206636500754,0.413426136881796,0.121794871794872,0.0888888888888889,0.251995176411094,-0.560576259489303,0.56400243525007,-0.568979466637549,0.613684324780789,0.613684324780789,0.378897433445233,0.344338609915821,0.344338609915821,0.344338609915821,0.303451910408432,0.252727272727273,0.18,-0.66443867148362,-0.625147110199742,-0.33478026370603,0.435335071854931,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.371009151542494,-0.173787281662044,-0.368398166664128
"SMAD",0.492950977563814,0.512780578721111,0.475332019050329,0.427903447621757,0.367340067340067,0.467552451890723,0.309523809523809,0.381188615740042,0.417303695671817,0.364362519201229,0.118457005443687,0.203751123090746,0.206542340462528,0.302199022550956,0.312358276643991,0.277664399092971,0.238888888888889,0.252412280701754,0.429627287709255,0.220833333333333,0.205555555555556,0.257539315448659,-0.568919182083739,0.573155582866188,-0.576779384181176,0.62127846010199,0.62127846010199,0.461258645932751,0.426476037237099,0.426476037237099,0.426476037237099,0.384883116883117,0.331636363636364,0.263636363636364,-0.671087436943732,-0.63107902584263,-0.371387097469923,0.445427643487564,0.392016806722689,0.421214943435938,0.358683473389356,0.392761904761905,0.359428571428571,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.427026007118663,-0.15,-0.183333333333333,0.2,0.279039796167099,-0.278827375041377,-0.374782087282087
"SNAI1",0.469999463725859,0.491375844973824,0.460700998348057,0.425145442792502,0.378991596638655,0.475715695722198,0.336521739130435,0.274531003981832,0.439064112011791,0.389064112011791,0.119774024152481,0.108384787606799,0.111269504263135,0.204657224844734,0.217166179337232,0.187305068226121,0.157675438596491,0.159543721909313,0.423676896505912,0.138556067588326,0.120833333333333,0.24740182668457,-0.590412698412698,0.60105282397481,-0.6037391065818,0.63688921234773,0.63688921234773,0.408647625134787,0.380240400175838,0.380240400175838,0.380240400175838,0.344785854721292,0.303322440087146,0.251470588235294,-0.688423102031476,-0.649908607145062,-0.358871410355321,0.471005572661113,0.426375191209496,0.451244161872731,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0833333333333333,-0.10952380952381,0.28,0.400650481138602,-0.182543721909313,-0.386944320696512
"GLI",0.499381412991939,0.617072646047238,0.577838196286472,0.530402298850575,0.468333333333333,0.556433435478379,0.402857142857143,0.409074201876134,0.509242424242424,0.461190476190476,0.158592739208647,0.144856475472383,0.147709834922111,0.324973091900828,0.239155739050006,0.206343239050006,0.175730994152047,0.273339598997494,0.428143148433509,0.247023809523809,0.138888888888889,0.233301153124162,-0.587049808429119,0.59107692297129,-0.591406708515393,0.637063579423559,0.637063579423559,0.472441926015313,0.434620143837095,0.434620143837095,0.434620143837095,0.3910031225605,0.336904761904762,0.275,-0.676086934823486,-0.647764007430758,-0.425251671566259,0.473723077081024,0.41538939803787,0.447628296037233,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0833333333333333,-0.20952380952381,0.2,0.347422393620632,-0.299870211242392,-0.408840212299116
