"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","Patched","AKT","IKK","SUFU","TWIST1","NFB","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","TCFLEF","CD44","cMet","SRC","GLI","Wnt","Frizzled","STAT","AXIN2","DSH","TrCP","LIV1","Destcompl","SHH","SMO","FUS","RKIP"
"ERK",0.364752152683187,0.390202837047438,0.361356683201284,0.319020916777926,0.267619047619048,0.209152519396083,0.267437819635468,0.187241379310345,0.174333577891905,0.227666911225238,0.175163637660932,0.177196403752456,0.165950203144554,0.062934533376192,0.210351238076548,0.185580595874714,0.1,0.431076484274657,0.156168831168831,0.110714285714286,0.297492775841281,0.275061910498755,0.247638087784073,0.21041181041181,0.122605023886577,-0.404027226318775,0.441618927834881,0.441618927834881,0.686945872945415,-0.543858381068372,0.157219749447472,0.129166944166944,0.129166944166944,0.129166944166944,-0.617861067336007,-0.213361668553274,-0.45125738837265,0.418799340414926,0.399146562637148,0.376098235499602,0.34988958410011,0.318421052631579,0.367283067809384,0.341468531468531,0.31,0.268421052631579,0.410420207178466,0.26,-0.0857142857142857,0.2,0.0577454544070875,-0.0581036155017959,-0.0779672131147541,-0.096,-0.283890179734113
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.140909090909091,0.207893738140417,0.148182485181735,0.2,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0387209302325581,0.0427602905569007,0.0342857142857143,0.05,0.0802251471666764,0.02,0,0.0675142417782127,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,-0.326728064963359,0.442935269858347,0.442935269858347,0.104995176821802,-0.0628629869659736,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.20560603104461,0.0427236315086783,-0.458532927961468,0.0325315917856516,0.0224004833231963,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,0.0111440030557678,-0.00146103896103896,-0.0196428571428571,-0.0571428571428571,-0.0431294196000078,-0.0571428571428571,0,0,-0.0634173280695643,-0.0307563284626466,-0.055,-0.075,-0.171240347490347
"cMet",0.405332278481013,0.406264775413712,0.372222222222222,0.35,0.3,0.420454545454546,0.4052230602186,0.325,0.415,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.179090909090909,0.2725,0.26,0.1,0.393514425649257,0.266666666666667,0.2,0.225487990270599,0.280035194368901,0.24812030075188,0.242857142857143,0.0109523809523809,-0.320634920634921,0.458008658008658,0.458008658008658,0.48879143565275,-0.196763716710336,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.332217112076693,-0.259293394777266,-0.467637104743083,0.165611210494931,0.132277877161598,0.0861240310077519,0.0233333333333333,0.05,0.0824242424242424,0.0233333333333333,-0.05,0,0.0419047619047619,-0.1,-0.2,0.1,-0.127328695606007,-0.172840909090909,-0.17,-0.15,-0.453333333333333
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0333333333333333,0.0888888888888889,0.0333333333333333,0,0.293,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.314685314685315,0.269230769230769,0.2,0.1,0.269230769230769,0.2,0.1,0,0.28,0,0,0,0.300540540540541,0.00512820512820513,-0.0333333333333333,0,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0333333333333333,0.0888888888888889,0.0333333333333333,0,0.293,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.314685314685315,0.269230769230769,0.2,0.1,0.269230769230769,0.2,0.1,0,0.28,0,0,0,0.300540540540541,0.00512820512820513,-0.0333333333333333,0,-0.235897435897436
"NFB",0.543623370874367,0.574761539445084,0.529191919191919,0.469191919191919,0.405555555555556,0.306438842203548,0.323971886243663,0.142857142857143,0.252190476190476,0.178857142857143,0.198011573050273,0.199542600635528,0.18578795379538,0.0356066411238825,0.358820248820249,0.321042471042471,0.08,0.568179271708683,0.264285714285714,0.314285714285714,0.313312588916683,0.403560024205185,0.362914862914863,0.307359307359307,0.336627598407784,-0.41529304029304,0.474843833722237,0.474843833722237,0.698964977831352,-0.61265624380123,0.415424526100359,0.380598655453593,0.380598655453593,0.380598655453593,-0.730857473036303,-0.252348631760396,-0.479293751915583,0.465804965283744,0.439530455479823,0.40957264957265,0.376239316239316,0.331623931623932,0.408823585902238,0.376239316239316,0.331623931623932,0.277777777777778,0.443520770010132,0.277777777777778,-0.3,0.2,0.159531272477971,-0.0259680869070151,-0.0562962962962963,-0.06,-0.315783942833123
"SRC",0.40859943977591,0.400551948051948,0.369642857142857,0.345833333333333,0.333333333333333,0.333142748237088,0.308263226544133,0.3,0.316161616161616,0.327272727272727,0.126804038397881,0.113934329065908,0.109429824561404,0.0922222222222222,0.168803418803419,0.157692307692308,0.0333333333333333,0.258834154351396,0.15,0.15,0.110475770406963,0.168809523809524,0.143809523809524,0.12,0.00857142857142857,-0.354328165374677,0.481079664570231,0.481079664570231,0.207151486620042,-0.109673701541685,0.219246027231008,0.191973299958281,0.191973299958281,0.191973299958281,-0.273239538239538,-0.152380952380952,-0.493078612209047,0.0811660123422667,0.0612554978008796,0.0344262295081967,0,-0.05,0.0344262295081967,0,-0.05,0,-0.0271686004505079,-0.1,-0.1,0,-0.079581541646759,-0.0863398692810457,-0.103333333333333,-0.0833333333333333,-0.405408927989573
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.393240093240093,0.363364055299539,0.2,0.353846153846154,0.3,0.128937728937729,0.134285714285714,0.12,-0.134166666666667,0.236857142857143,0.192857142857143,-0.3,0.284858387799564,0.15,0.1,0.239312169312169,0.323787878787879,0.278787878787879,0.233333333333333,0.255263157894737,-0.413888888888889,0.482485875706215,0.482485875706215,0.458517788724685,-0.399283850088736,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,-0.446083963266817,-0.335225292506846,-0.492374924653406,0.302911242507563,0.275091693635383,0.241111111111111,0.196666666666667,0.15,0.344444444444444,0.3,0.25,0.1,0.366472607851918,0.2,0,0.1,0.319191970819878,0.145277777777778,0.146666666666667,0.266666666666667,-0.352857142857143
"TWIST1",0.536864045556844,0.523479873751259,0.485438871473354,0.440438871473354,0.381818181818182,0.477104295456357,0.47928809728799,0.28,0.431830663615561,0.371304347826087,0.243465573974049,0.237967084996788,0.21981526981527,-0.146703196347032,0.460917613459986,0.416849816849817,-0.1,0.465609313137917,0.369230769230769,0.3,0.410423425501433,0.419711336881148,0.379145299145299,0.335555555555555,0.315754268614681,-0.404315196998124,0.488073160880178,0.488073160880178,0.731085874441667,-0.658483403498988,0.452050268226609,0.42054341891154,0.42054341891154,0.42054341891154,-0.827519665813628,-0.402797009911764,-0.496082171680117,0.470226323970093,0.446247025522709,0.417916244511989,0.384582911178656,0.348412698412698,0.416749540517962,0.383149540517962,0.348412698412698,0.309523809523809,0.461239889143115,0.309523809523809,-0.2,0.266666666666667,0.396779183640449,0.150151472209101,0.145333333333333,0.133333333333333,-0.461840770536423
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.299871794871795,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,-0.00512820512820513,0.133333333333333,0.0888888888888889,0,0.342152542372881,0.0333333333333333,0,0.196123136123136,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.277307558342041,-0.529264069264069,0.383193948908235,0.350949050949051,0.314685314685315,0.269230769230769,0.2,0.314685314685315,0.269230769230769,0.2,0.1,0.338490566037736,0.1,0,0,0.329512503157363,0.028657616892911,-0.0333333333333333,-0.0333333333333333,-0.28762157382847
"FUS",0.472168784029038,0.566399271612038,0.52490990990991,0.481666666666667,0.44,0.431171127722852,0.392609338318407,0.3,0.393240093240093,0.353846153846154,0.144879757923236,0.145253456221198,0.134285714285714,-0.145277777777778,0.271472527472527,0.236857142857143,-0.266666666666667,0.320984042249826,0.192857142857143,0.15,0.265818193408555,0.362424242424242,0.323787878787879,0.278787878787879,0.274493927125506,-0.461429872495446,0.527271151779834,0.527271151779834,0.494244898239946,-0.437831336122255,0.412610879143199,0.382479874776386,0.382479874776386,0.382479874776386,-0.489097661896954,-0.359640008225909,-0.53692938009895,0.326280807724955,0.302911242507563,0.275091693635383,0.241111111111111,0.196666666666667,0.379059829059829,0.344444444444444,0.3,0.15,0.404360806609682,0.25,-0.1,0.1,0.33714817519944,0.152348484848485,0.134166666666667,0.146666666666667,-0.393063328424153
"TGF",0.5325,0.543928571428572,0.588571428571429,0.526666666666667,0.46,0.474670008354219,0.438957406230134,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.159655172413793,0.341791979949875,0.315476190476191,0.133333333333333,0.461481481481482,0.258333333333333,0.233333333333333,0.317630093274423,0.38816091954023,0.343333333333333,0.273333333333333,0.181578947368421,-0.507068395626748,0.557977486535839,0.557977486535839,0.508469498155186,-0.51259100202797,0.395833333333333,0.34047619047619,0.34047619047619,0.34047619047619,-0.596639518097742,-0.374003665393098,-0.56589569434397,0.423299178477927,0.384543197616683,0.338490566037736,0.28,0.2,0.309919137466307,0.251428571428571,0.171428571428571,0.1,0.353615520282187,0.1,-0.2,0,0.178238812913751,-0.140905172413793,-0.17,-0.153333333333333,-0.408658008658009
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.389064112011791,0.319178037152721,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,-0.00829493087557604,0.157675438596491,0.120833333333333,0.0333333333333333,0.362155844155844,0.0833333333333333,0.0333333333333333,0.208611111111111,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427177771831237,0.398659253312719,0.365985985985986,0.328148148148148,0.28,0.364990253411306,0.328148148148148,0.28,0.2,0.39512315270936,0.2,0,0.1,0.365130149024012,0.0194060419866871,-0.0142857142857143,-0.0476190476190476,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.389064112011791,0.319178037152721,0.22,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,-0.00829493087557604,0.157675438596491,0.120833333333333,0.0333333333333333,0.362155844155844,0.0833333333333333,0.0333333333333333,0.208611111111111,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427177771831237,0.398659253312719,0.365985985985986,0.328148148148148,0.28,0.364990253411306,0.328148148148148,0.28,0.2,0.39512315270936,0.2,0,0.1,0.365130149024012,0.0194060419866871,-0.0142857142857143,-0.0476190476190476,-0.31979020979021
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.408095238095238,0.332146927146927,0.22,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,-0.028657616892911,0.172868217054264,0.133333333333333,0.0333333333333333,0.380517322247095,0.0888888888888889,0.0333333333333333,0.221950950692673,0.228372544263885,0.186267281105991,0.231428571428571,0.221913875598086,-0.515648723257419,0.570966183574879,0.570966183574879,0.528976296340436,-0.529869037189696,0.344338609915821,0.303451910408432,0.303451910408432,0.303451910408432,-0.622465254179266,-0.308712517019727,-0.581865225333433,0.411438223717395,0.383193948908235,0.350949050949051,0.314685314685315,0.269230769230769,0.350169185653057,0.314685314685315,0.269230769230769,0.2,0.38293501048218,0.2,0,0.1,0.35217916982403,0.0383350362477497,0.00512820512820513,-0.0333333333333333,-0.331283545659456
"TCFLEF",0.617537675067637,0.606214008272803,0.578068312908565,0.547227191413238,0.507692307692308,0.527721918035507,0.43623289077264,0.431428571428571,0.500511033681765,0.472891986062718,0.202196974022267,0.185159955337675,0.175408521303258,-0.021136712749616,0.311071947687656,0.290419773774612,-0.0166666666666667,0.432154546677147,0.271064935064935,0.235064935064935,0.283584454025305,0.395489237479828,0.370572293958234,0.345082097879802,0.200614156302779,-0.440433218742042,0.576925793017898,0.576925793017898,0.485865105013806,-0.43866589000698,0.409916804632054,0.385606686366614,0.385606686366614,0.385606686366614,-0.607881640340576,-0.359097505185878,-0.587983970514091,0.210775253243158,0.191015803071337,0.266388082567328,0.237457264957265,0.205833333333333,0.269084046104506,0.2411337355455,0.209509803921569,0.170833333333333,0.601418315018315,0.174509803921569,-0.171428571428571,0.133333333333333,0.322462517433874,0.0223637066146467,0.0195238095238095,0.01,-0.437425724388116
"PAK1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.348056318775632,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,-0.0194060419866871,0.187305068226121,0.157675438596491,0.0476190476190476,0.394764539808018,0.120833333333333,0.0833333333333333,0.234377982276755,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601332188733215,0.601332188733215,0.571153759850055,-0.570888002215292,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652517701354814,-0.336759199134199,-0.613088570299678,0.451039840796754,0.427177771831237,0.398659253312719,0.365985985985986,0.328148148148148,0.396697570484477,0.364990253411306,0.328148148148148,0.28,0.432859001765963,0.28,-0.0333333333333333,0.2,0.384679021204463,0.0244060419866871,0.00829493087557604,-0.0142857142857143,-0.354596839624464
"LIV1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.348056318775632,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,-0.0194060419866871,0.187305068226121,0.157675438596491,0.0476190476190476,0.394764539808018,0.120833333333333,0.0833333333333333,0.234377982276755,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601332188733215,0.601332188733215,0.571153759850055,-0.570888002215292,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652517701354814,-0.336759199134199,-0.613088570299678,0.451039840796754,0.427177771831237,0.398659253312719,0.365985985985986,0.328148148148148,0.396697570484477,0.364990253411306,0.328148148148148,0.28,0.432859001765963,0.28,-0.0333333333333333,0.2,0.384679021204463,0.0244060419866871,0.00829493087557604,-0.0142857142857143,-0.354596839624464
"EGR1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.348056318775632,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,-0.0194060419866871,0.187305068226121,0.157675438596491,0.0476190476190476,0.394764539808018,0.120833333333333,0.0833333333333333,0.234377982276755,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601332188733215,0.601332188733215,0.571153759850055,-0.570888002215292,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652517701354814,-0.336759199134199,-0.613088570299678,0.451039840796754,0.427177771831237,0.398659253312719,0.365985985985986,0.328148148148148,0.396697570484477,0.364990253411306,0.328148148148148,0.28,0.432859001765963,0.28,-0.0333333333333333,0.2,0.384679021204463,0.0244060419866871,0.00829493087557604,-0.0142857142857143,-0.354596839624464
"ZEB1",0.462847987139851,0.49026960266486,0.456017634160923,0.414900882891887,0.364176245210728,0.36439923987216,0.344181641633582,0.216666666666667,0.322549019607843,0.276666666666667,0.185035508532918,0.178571315342988,0.166552084573757,0.0287655971479501,0.284706438226714,0.251849295369572,0.0666666666666667,0.468667589504254,0.220701754385965,0.173333333333333,0.332783092713554,0.360722532814779,0.326838235294118,0.289583333333333,0.292397660818713,-0.551679957810132,0.603556967476184,0.603556967476184,0.525322141989074,-0.641876847590511,0.450661214533949,0.419322631856783,0.419322631856783,0.419322631856783,-0.645546051530888,-0.384770263826276,-0.622666145048231,0.494984376644167,0.473457957857474,0.44739412807024,0.417533016959129,0.38223889931207,0.434663279056037,0.404766371839543,0.370150987224158,0.335897435897436,0.478463482271542,0.323809523809524,-0.133333333333333,0.266666666666667,0.397724528011865,-0.0248510064006191,-0.040530303030303,-0.0541666666666667,-0.330941076975893
"TGFR",0.57660480349345,0.590737082066869,0.543928571428572,0.588571428571429,0.526666666666667,0.517135761778876,0.475240592070841,0.376190476190476,0.474670008354219,0.423558897243108,0.248268329532223,0.238486796561644,0.22603128054741,0.140905172413793,0.374350119484758,0.341791979949875,0.153333333333333,0.504541979702122,0.315476190476191,0.258333333333333,0.349514151245438,0.430606962705698,0.38816091954023,0.343333333333333,0.222319688109162,-0.555282681341034,0.605147297856594,0.605147297856594,0.555228757414446,-0.562937422351296,0.440862573099415,0.395833333333333,0.395833333333333,0.395833333333333,-0.649109705491268,-0.408966990576472,-0.613109770590304,0.454388638176776,0.423299178477927,0.384543197616683,0.338490566037736,0.28,0.354435266498565,0.309919137466307,0.251428571428571,0.2,0.407263588951715,0.171428571428571,-0.233333333333333,0.1,0.20565816775246,-0.133560539645432,-0.159655172413793,-0.17,-0.45008658008658
"Csl",0.45634121056654,0.476442006814369,0.441294614524119,0.396071684587814,0.331555555555555,0.457008281573499,0.361791195921631,0.286666666666667,0.408095238095238,0.350952380952381,0.206429274050757,0.114086445129611,0.0979753340184995,-0.0383350362477497,0.204651162790698,0.172868217054264,0.0333333333333333,0.413248699222265,0.133333333333333,0.0888888888888889,0.248513450692673,0.262008907900249,0.228372544263885,0.186267281105991,0.251995176411094,-0.559934437543133,0.612955133851122,0.612955133851122,0.563950196415008,-0.56885986287777,0.378897433445233,0.344338609915821,0.344338609915821,0.344338609915821,-0.66409316115601,-0.33478026370603,-0.624348885464152,0.435166068199956,0.411438223717395,0.383193948908235,0.350949050949051,0.314685314685315,0.381620798556282,0.350169185653057,0.314685314685315,0.269230769230769,0.419695935932052,0.269230769230769,-0.0333333333333333,0.2,0.371009151542494,0.0426453810753359,0.028657616892911,0.00512820512820513,-0.367689075613373
"SMAD",0.490696421624747,0.502100745764175,0.46504895293549,0.422032193158954,0.364285714285714,0.467402599276193,0.388333929063768,0.314285714285714,0.420287214660808,0.369124423963134,0.227899286438286,0.117176385258577,0.203366861449053,0.0837461773700306,0.309477124183007,0.276143790849673,0.133333333333333,0.426387484302691,0.238888888888889,0.205555555555556,0.350296327328585,0.362610837438424,0.326896551724138,0.286666666666667,0.250924282756581,-0.571128577364471,0.621440111846979,0.621440111846979,0.570563040345847,-0.575793521774935,0.458638851495551,0.42377043044292,0.42377043044292,0.42377043044292,-0.669957133751591,-0.369455348327529,-0.631902916625962,0.441971942755758,0.418263736068828,0.38963415669298,0.355088702147526,0.315873015873016,0.354814170641509,0.321001221001221,0.282539682539683,0.271428571428571,0.423468744899376,0.238095238095238,-0.15,0.2,0.27708521451876,-0.0774264747678001,-0.0883333333333333,-0.108333333333333,-0.383281564693838
"SNAI1",0.469571761532323,0.490812041969809,0.459965267776261,0.424446142093201,0.378991596638655,0.475168745793555,0.274212902405526,0.336521739130435,0.438397445345124,0.389064112011791,0.118334110255796,0.119383929476776,0.108190817545656,-0.0244060419866871,0.217166179337232,0.187305068226121,0.0142857142857143,0.423585052628531,0.157675438596491,0.120833333333333,0.257907394041461,0.27603872318158,0.245018315018315,0.212051282051282,0.247238256844552,-0.589631109846523,0.636141536826696,0.636141536826696,0.600888925790383,-0.603461404633254,0.408647625134787,0.380240400175838,0.380240400175838,0.380240400175838,-0.688001572322556,-0.358871410355321,-0.649111625054721,0.470709432949568,0.451039840796754,0.427177771831237,0.398659253312719,0.365985985985986,0.424668320027438,0.396697570484477,0.364990253411306,0.328148148148148,0.464793733700695,0.328148148148148,-0.0833333333333333,0.28,0.400578144011481,0.0280953623750367,0.0194060419866871,0.00829493087557604,-0.38639600280438
"GLI",0.499191068971448,0.616395639583094,0.577572110171329,0.530402298850575,0.468333333333333,0.556203750209275,0.409285268609222,0.402857142857143,0.509242424242424,0.461190476190476,0.15473324072645,0.158369988985897,0.144856475472383,-0.068000358037952,0.239155739050006,0.206343239050006,-0.0190476190476191,0.428092680758216,0.175730994152047,0.138888888888889,0.276800336507992,0.291431097637994,0.254288240495137,0.214288240495137,0.233301153124162,-0.586816816816817,0.636728537293053,0.636728537293053,0.590905852785133,-0.591204572587183,0.472441926015313,0.434620143837095,0.434620143837095,0.434620143837095,-0.675868564374612,-0.425251671566259,-0.64740096848456,0.47330481616982,0.447303620712557,0.415810114219051,0.37874114870181,0.334838709677419,0.412185393031612,0.476015180265655,0.434838709677419,0.28,0.445668780193237,0.38,-0.0833333333333333,0.2,0.347289767625937,0.0725271070091454,0.0598370927318296,0.0440476190476191,-0.408715571088957
